keibajo_code,kyori,wakuban,sample_count,tansho_hit_count,fukusho_hit_count,tansho_hit_rate,fukusho_hit_rate,keibajo_name
35,2600,6,1,0,0,0.0,0.0,盛岡
35,2600,8,1,0,0,0.0,0.0,盛岡
36,850,1,108,10,40,9.26,37.04,水沢
36,850,2,84,11,28,13.1,33.33,水沢
36,850,3,94,5,25,5.32,26.6,水沢
36,850,4,96,6,23,6.25,23.96,水沢
36,850,5,82,11,31,13.41,37.8,水沢
36,850,6,89,11,34,12.36,38.2,水沢
36,850,7,109,10,34,9.17,31.19,水沢
36,850,8,127,10,49,7.87,38.58,水沢
36,1300,1,301,33,111,10.96,36.88,水沢
36,1300,2,348,34,124,9.77,35.63,水沢
36,1300,3,343,39,120,11.37,34.99,水沢
36,1300,4,335,30,110,8.96,32.84,水沢
36,1300,5,298,27,89,9.06,29.87,水沢
36,1300,6,361,47,128,13.02,35.46,水沢
36,1300,7,430,46,125,10.7,29.07,水沢
36,1300,8,495,55,163,11.11,32.93,水沢
36,1400,1,380,50,140,13.16,36.84,水沢
36,1400,2,393,35,121,8.91,30.79,水沢
36,1400,3,426,42,145,9.86,34.04,水沢
36,1400,4,406,34,124,8.37,30.54,水沢
36,1400,5,458,43,141,9.39,30.79,水沢
36,1400,6,511,59,143,11.55,27.98,水沢
36,1400,7,649,72,212,11.09,32.67,水沢
36,1400,8,657,70,199,10.65,30.29,水沢
36,1600,1,265,33,104,12.45,39.25,水沢
36,1600,2,239,28,84,11.72,35.15,水沢
36,1600,3,235,34,82,14.47,34.89,水沢
36,1600,4,244,25,64,10.25,26.23,水沢
36,1600,5,288,34,85,11.81,29.51,水沢
36,1600,6,339,33,96,9.73,28.32,水沢
36,1600,7,370,43,112,11.62,30.27,水沢
36,1600,8,433,37,109,8.55,25.17,水沢
36,1800,1,24,7,9,29.17,37.5,水沢
36,1800,2,25,3,9,12.0,36.0,水沢
36,1800,3,25,2,5,8.0,20.0,水沢
36,1800,4,26,3,7,11.54,26.92,水沢
36,1800,5,24,4,9,16.67,37.5,水沢
36,1800,6,22,1,8,4.55,36.36,水沢
36,1800,7,28,2,7,7.14,25.0,水沢
36,1800,8,46,5,20,10.87,43.48,水沢
36,1900,1,6,0,2,0.0,33.33,水沢
36,1900,2,2,0,1,0.0,50.0,水沢
36,1900,3,6,0,2,0.0,33.33,水沢
36,1900,4,5,1,3,20.0,60.0,水沢
36,1900,5,7,2,3,28.57,42.86,水沢
36,1900,6,4,0,0,0.0,0.0,水沢
36,1900,7,13,2,3,15.38,23.08,水沢
36,1900,8,11,1,2,9.09,18.18,水沢
36,2000,1,3,0,0,0.0,0.0,水沢
36,2000,2,1,0,0,0.0,0.0,水沢
36,2000,3,6,0,2,0.0,33.33,水沢
36,2000,4,7,0,3,0.0,42.86,水沢
36,2000,5,9,3,4,33.33,44.44,水沢
36,2000,6,14,3,4,21.43,28.57,水沢
36,2000,7,17,1,5,5.88,29.41,水沢
36,2000,8,9,2,5,22.22,55.56,水沢
36,2500,1,1,1,1,100.0,100.0,水沢
36,2500,2,3,0,0,0.0,0.0,水沢
36,2500,3,2,0,0,0.0,0.0,水沢
36,2500,5,1,1,1,100.0,100.0,水沢
36,2500,7,1,0,0,0.0,0.0,水沢
36,2500,8,4,0,1,0.0,25.0,水沢
42,800,1,105,10,37,9.52,35.24,浦和
42,800,2,95,6,24,6.32,25.26,浦和
42,800,3,85,8,24,9.41,28.24,浦和
42,800,4,83,10,21,12.05,25.3,浦和
42,800,5,113,10,34,8.85,30.09,浦和
42,800,6,123,11,45,8.94,36.59,浦和
42,800,7,146,12,37,8.22,25.34,浦和
42,800,8,128,15,53,11.72,41.41,浦和
42,1300,1,57,6,14,10.53,24.56,浦和
42,1300,2,69,10,20,14.49,28.99,浦和
42,1300,3,52,7,18,13.46,34.62,浦和
42,1300,4,60,7,22,11.67,36.67,浦和
42,1300,5,73,8,31,10.96,42.47,浦和
42,1300,6,79,10,21,12.66,26.58,浦和
42,1300,7,106,10,39,9.43,36.79,浦和
42,1300,8,109,14,35,12.84,32.11,浦和
