keibajo_code,keibajo_name,distance,waku,sample_count,tansho_hit_rate,fukusho_hit_rate,avg_hit_rate,baseline_rate,wakuban_coefficient
35,盛岡,2400,7,38,0.0,28.95,14.475,17.606875,-4.697812499999999
35,盛岡,2400,8,39,15.38,28.21,21.795,17.606875,6.2821875000000045
36,水沢,850,1,889,11.02,32.06,21.54,21.8025,-0.39374999999999893
36,水沢,850,2,889,11.81,32.51,22.16,21.8025,0.5362500000000026
36,水沢,850,3,889,10.57,33.18,21.875,21.8025,0.10875000000000234
36,水沢,850,4,889,7.99,29.36,18.675,21.8025,-4.691249999999997
36,水沢,850,5,889,9.22,33.86,21.54,21.8025,-0.39374999999999893
36,水沢,850,6,862,12.18,33.76,22.97,21.8025,1.7512500000000006
36,水沢,850,7,1238,10.74,33.04,21.89,21.8025,0.1312500000000032
36,水沢,850,8,1361,13.15,34.39,23.77,21.8025,2.9512500000000017
36,水沢,1300,1,2029,11.29,35.29,23.29,22.003125,1.9303124999999977
36,水沢,1300,2,2029,11.04,34.94,22.99,22.003125,1.4803124999999966
36,水沢,1300,3,2029,11.48,35.14,23.310000000000002,22.003125,1.9603125000000023
36,水沢,1300,4,2029,11.48,33.61,22.545,22.003125,0.8128125000000015
36,水沢,1300,5,2029,9.96,31.99,20.975,22.003125,-1.542187499999999
36,水沢,1300,6,2349,10.56,31.76,21.16,22.003125,-1.2646875000000009
36,水沢,1300,7,2651,10.83,32.18,21.505,22.003125,-0.7471875000000026
36,水沢,1300,8,2926,10.97,29.53,20.25,22.003125,-2.629687500000001
36,水沢,1400,1,2622,11.29,32.49,21.89,20.0,2.835000000000001
36,水沢,1400,2,2622,10.41,31.05,20.73,20.0,1.0950000000000006
36,水沢,1400,3,2622,9.19,31.58,20.384999999999998,20.0,0.577499999999997
36,水沢,1400,4,2622,10.79,30.59,20.689999999999998,20.0,1.0349999999999966
36,水沢,1400,5,3100,10.19,29.81,20.0,20.0,0.0
36,水沢,1400,6,3514,9.16,27.15,18.155,20.0,-2.7674999999999983
36,水沢,1400,7,4059,9.44,29.1,19.27,20.0,-1.0950000000000006
36,水沢,1400,8,4466,9.52,28.24,18.88,20.0,-1.6800000000000015
36,水沢,1600,1,1518,11.46,33.27,22.365000000000002,19.37375,4.486875000000001
36,水沢,1600,2,1518,9.75,30.57,20.16,19.37375,1.1793749999999985
36,水沢,1600,3,1518,10.34,30.17,20.255000000000003,19.37375,1.3218750000000021
36,水沢,1600,4,1518,10.47,31.49,20.98,19.37375,2.409374999999999
36,水沢,1600,5,1871,9.35,27.9,18.625,19.37375,-1.1231250000000017
36,水沢,1600,6,2210,9.41,28.37,18.89,19.37375,-0.7256250000000009
36,水沢,1600,7,2552,8.78,25.08,16.93,19.37375,-3.665625000000002
36,水沢,1600,8,2711,8.04,25.53,16.785,19.37375,-3.8831250000000015
36,水沢,1800,1,73,21.92,38.36,30.14,22.565625,11.3615625
36,水沢,1800,2,73,12.33,32.88,22.605,22.565625,0.059062499999999574
36,水沢,1800,3,73,4.11,28.77,16.44,22.565625,-9.1884375
36,水沢,1800,4,73,9.59,32.88,21.235,22.565625,-1.995937500000002
36,水沢,1800,5,73,17.81,38.36,28.085,22.565625,8.2790625
36,水沢,1800,6,72,11.11,37.5,24.305,22.565625,2.6090624999999985
36,水沢,1800,7,100,10.0,34.0,22.0,22.565625,-0.8484375000000011
36,水沢,1800,8,105,4.76,26.67,15.715,22.565625,-10.275937500000001
36,水沢,1900,1,44,4.55,36.36,20.455,19.159375,1.9434374999999964
36,水沢,1900,2,44,13.64,29.55,21.595,19.159375,3.6534374999999972
36,水沢,1900,3,44,13.64,29.55,21.595,19.159375,3.6534374999999972
36,水沢,1900,4,44,15.91,40.91,28.409999999999997,19.159375,13.875937499999994
36,水沢,1900,5,58,15.52,32.76,24.14,19.159375,7.4709375
36,水沢,1900,6,62,3.23,17.74,10.485,19.159375,-13.011562500000002
36,水沢,1900,7,74,10.81,24.32,17.565,19.159375,-2.391562499999999
36,水沢,1900,8,72,1.39,16.67,9.030000000000001,19.159375,-15.1940625
36,水沢,2000,1,36,8.33,27.78,18.055,18.50625,-0.6768750000000026
36,水沢,2000,2,36,16.67,27.78,22.225,18.50625,5.578125
36,水沢,2000,3,36,2.78,13.89,8.335,18.50625,-15.256875
36,水沢,2000,4,36,11.11,41.67,26.39,18.50625,11.825624999999999
36,水沢,2000,5,53,9.43,20.75,15.09,18.50625,-5.124375000000002
36,水沢,2000,6,56,10.71,26.79,18.75,18.50625,0.36562499999999787
36,水沢,2000,7,61,9.84,29.51,19.675,18.50625,1.753124999999999
36,水沢,2000,8,64,6.25,32.81,19.53,18.50625,1.5356249999999996
36,水沢,2500,8,10,20.0,30.0,25.0,25.0,0.0
42,浦和,800,1,747,9.64,30.66,20.15,19.675,0.7124999999999968
42,浦和,800,2,747,10.44,32.4,21.419999999999998,19.675,2.617499999999996
42,浦和,800,3,747,10.31,30.25,20.28,19.675,0.9075000000000006
42,浦和,800,4,747,10.44,29.05,19.745,19.675,0.10500000000000043
42,浦和,800,5,972,9.47,26.95,18.21,19.675,-2.1975
42,浦和,800,6,1182,10.58,29.19,19.885,19.675,0.3150000000000013
42,浦和,800,7,1212,8.17,28.14,18.155,19.675,-2.2799999999999994
42,浦和,800,8,1212,9.82,29.29,19.555,19.675,-0.1800000000000015
42,浦和,1300,1,121,7.44,25.62,16.53,20.8775,-6.52125
42,浦和,1300,2,121,8.26,30.58,19.419999999999998,20.8775,-2.1862500000000047
42,浦和,1300,3,121,11.57,33.88,22.725,20.8775,2.77125
42,浦和,1300,4,121,15.7,40.5,28.1,20.8775,10.83375
42,浦和,1300,5,121,12.4,30.58,21.49,20.8775,0.9187499999999957
42,浦和,1300,6,160,9.38,22.5,15.940000000000001,20.8775,-7.40625
42,浦和,1300,7,186,8.06,30.65,19.355,20.8775,-2.2837500000000013
42,浦和,1300,8,211,11.37,35.55,23.459999999999997,20.8775,3.873749999999994
42,浦和,1400,1,3495,8.01,26.72,17.365,17.98625,-0.9318749999999998
42,浦和,1400,2,3495,9.3,27.38,18.34,17.98625,0.5306250000000023
42,浦和,1400,3,3496,9.61,28.23,18.92,17.98625,1.4006250000000051
42,浦和,1400,4,3525,9.48,28.48,18.98,17.98625,1.4906250000000032
42,浦和,1400,5,5509,8.86,26.21,17.535,17.98625,-0.6768749999999972
42,浦和,1400,6,6107,8.58,26.28,17.43,17.98625,-0.8343749999999979
42,浦和,1400,7,6483,8.96,25.82,17.39,17.98625,-0.8943749999999966
42,浦和,1400,8,6686,9.0,26.86,17.93,17.98625,-0.08437499999999787
42,浦和,1500,1,1698,10.37,29.33,19.849999999999998,18.200625,2.4740624999999987
42,浦和,1500,2,1698,9.84,30.33,20.085,18.200625,2.826562500000003
42,浦和,1500,3,1698,9.6,28.92,19.26,18.200625,1.5890625000000043
42,浦和,1500,4,1698,9.07,29.09,19.08,18.200625,1.3190624999999994
42,浦和,1500,5,2658,8.77,24.94,16.855,18.200625,-2.0184374999999974
42,浦和,1500,6,2962,9.05,26.74,17.895,18.200625,-0.4584374999999987
42,浦和,1500,7,3181,8.14,25.15,16.645,18.200625,-2.3334374999999987
42,浦和,1500,8,3291,7.9,23.97,15.934999999999999,18.200625,-3.3984375
42,浦和,1600,1,155,14.84,48.39,31.615000000000002,20.779375,16.2534375
42,浦和,1600,2,155,18.71,47.1,32.905,20.779375,18.1884375
42,浦和,1600,3,155,8.39,31.61,20.0,20.779375,-1.1690625000000026
42,浦和,1600,4,155,11.61,31.61,21.61,20.779375,1.2459374999999966
42,浦和,1600,5,155,12.9,28.39,20.645,20.779375,-0.2015625000000032
42,浦和,1600,6,266,7.52,19.17,13.345,20.779375,-11.1515625
42,浦和,1600,7,284,5.99,23.24,14.614999999999998,20.779375,-9.246562500000005
42,浦和,1600,8,300,4.67,18.33,11.5,20.779375,-13.919062500000003
42,浦和,1900,1,11,0.0,18.18,9.09,19.033125,-14.914687499999998
42,浦和,1900,2,11,18.18,45.45,31.815,19.033125,19.172812500000006
42,浦和,1900,3,11,9.09,18.18,13.635,19.033125,-8.097187499999997
42,浦和,1900,4,11,9.09,36.36,22.725,19.033125,5.537812500000005
42,浦和,1900,5,11,18.18,36.36,27.27,19.033125,12.355312500000002
42,浦和,1900,6,22,9.09,31.82,20.455,19.033125,2.1328125
42,浦和,1900,7,22,9.09,27.27,18.18,19.033125,-1.2796874999999979
42,浦和,1900,8,22,4.55,13.64,9.095,19.033125,-14.907187499999996
42,浦和,2000,1,310,9.68,25.16,17.42,17.35125,0.10312500000000213
42,浦和,2000,2,310,9.03,26.77,17.9,17.35125,0.8231249999999974
42,浦和,2000,3,310,7.74,28.06,17.9,17.35125,0.8231249999999974
42,浦和,2000,4,310,8.71,27.74,18.225,17.35125,1.3106250000000017
42,浦和,2000,5,503,6.16,22.66,14.41,17.35125,-4.411875
