"競馬場コード","競馬場名","距離(m)","クラス","サンプル数","集計開始日","集計終了日","基準タイム(秒)","標準偏差(秒)"
"44","大井","1400","一般戦","1971","20231002","20251231","90.24","1.70"
"44","大井","1600","上位クラス","85","20231031","20251231","102.66","1.76"
"44","大井","1600","E級","529","20231002","20251229","103.22","1.52"
"44","大井","1600","一般戦","3020","20231002","20251231","104.99","1.56"
"44","大井","1650","E級","215","20231006","20251224","107.19","1.36"
"44","大井","1700","上位クラス","10","20240320","20250326","108.62","1.88"
"44","大井","1700","E級","60","20231004","20251010","111.08","1.24"
"44","大井","1700","一般戦","25","20231102","20240624","112.86","0.96"
"44","大井","1800","上位クラス","110","20231005","20251226","115.54","2.37"
"44","大井","1800","E級","515","20231002","20251205","116.94","1.79"
"44","大井","1800","一般戦","120","20231030","20251113","118.80","2.52"
"44","大井","2000","上位クラス","70","20231103","20251229","126.99","2.98"
"44","大井","2000","E級","250","20231030","20251230","131.14","1.77"
"44","大井","2000","一般戦","25","20240710","20251226","131.99","1.21"
"44","大井","2400","上位クラス","10","20240912","20250917","157.51","1.21"
"44","大井","2400","E級","10","20240801","20250814","158.79","1.85"
"44","大井","2600","上位クラス","10","20240124","20250129","172.13","1.42"
"44","大井","2600","E級","15","20231226","20251225","171.92","2.87"
"45","川崎","0900","上位クラス","50","20210525","20250617","53.83","0.63"
"45","川崎","0900","E級","661","20160616","20251117","55.05","1.01"
"45","川崎","0900","一般戦","5598","20160101","20251219","55.87","1.06"
"45","川崎","1400","上位クラス","50","20160705","20250807","90.59","1.81"
"45","川崎","1400","E級","1981","20160127","20251218","92.94","1.55"
"45","川崎","1400","一般戦","12187","20160101","20251219","93.59","1.70"
"45","川崎","1500","上位クラス","100","20160823","20250306","96.49","1.31"
"45","川崎","1500","E級","4332","20160101","20251219","97.70","1.53"
"45","川崎","1500","一般戦","5701","20160101","20251219","98.64","1.37"
"45","川崎","1600","上位クラス","510","20160301","20251217","103.21","1.64"
"45","川崎","1600","E級","3626","20160101","20251219","105.07","1.45"
"45","川崎","1600","一般戦","690","20160101","20251217","105.97","1.42"
"45","川崎","2000","上位クラス","110","20161213","20251016","133.41","1.72"
"45","川崎","2000","E級","925","20160104","20251219","134.48","2.24"
"45","川崎","2000","一般戦","777","20160129","20250707","136.07","2.13"
"45","川崎","2100","上位クラス","345","20160103","20251119","138.21","2.12"
"45","川崎","2100","E級","80","20160126","20251120","139.18","1.48"
"46","金沢","0900","上位クラス","65","20170402","20230618","55.38","1.07"
"46","金沢","0900","E級","130","20191126","20251228","56.50","0.72"
"46","金沢","0900","一般戦","403","20160626","20250805","58.02","1.67"
"46","金沢","1300","上位クラス","15","20160814","20180821","84.47","0.77"
"46","金沢","1300","E級","40","20160531","20180605","85.90","0.97"
"46","金沢","1300","一般戦","210","20160501","20180603","86.74","1.15"
"46","金沢","1400","上位クラス","405","20160424","20251116","90.07","2.05"
"46","金沢","1400","E級","2228","20160320","20251228","91.40","1.98"
"46","金沢","1400","一般戦","19142","20160320","20251228","92.87","1.98"
"46","金沢","1500","上位クラス","415","20160508","20251228","96.86","2.18"
"46","金沢","1500","E級","4474","20160320","20251228","98.10","1.93"
"46","金沢","1500","一般戦","17360","20160320","20251228","99.31","1.98"
"46","金沢","1700","上位クラス","221","20160522","20251124","111.37","1.59"
"46","金沢","1700","E級","1918","20160403","20251227","111.84","2.03"
"46","金沢","1700","一般戦","165","20160821","20240805","113.73","1.84"
"46","金沢","1900","上位クラス","125","20160418","20230409","126.15","2.11"
"46","金沢","1900","E級","289","20160515","20250506","126.07","1.83"
"46","金沢","2000","上位クラス","240","20160906","20251207","131.08","2.43"
"46","金沢","2100","上位クラス","105","20160612","20250930","135.64","2.97"
"46","金沢","2600","上位クラス","45","20161113","20251109","174.00","3.04"
"47","笠松","0800","E級","5","20220729","20220729","50.90","1.14"
"47","笠松","0800","一般戦","1998","20160107","20251226","50.85","1.03"
"47","笠松","1400","上位クラス","500","20160114","20251230","88.53","1.92"
"47","笠松","1400","E級","4476","20160108","20251231","90.09","1.77"
"47","笠松","1400","一般戦","31739","20160107","20251231","91.45","1.81"
"47","笠松","1600","上位クラス","445","20160128","20251212","103.03","1.77"
"47","笠松","1600","E級","3109","20160107","20251231","104.48","1.95"
"47","笠松","1600","一般戦","5090","20160107","20251231","105.72","1.93"
"47","笠松","1800","上位クラス","100","20160212","20240718","117.40","1.80"
"47","笠松","1800","E級","405","20160125","20250611","118.68","2.00"
"47","笠松","1900","上位クラス","225","20160311","20251114","124.98","2.17"
"47","笠松","1900","E級","115","20200507","20251231","127.59","2.26"
"47","笠松","2500","上位クラス","45","20160428","20251231","167.62","2.80"
"48","名古屋","0900","E級","5","20220623","20220623","57.18","1.64"
"48","名古屋","0900","一般戦","171","20220610","20250905","57.11","1.24"
"48","名古屋","0920","上位クラス","30","20220915","20250821","55.63","0.46"
"48","名古屋","0920","E級","335","20220608","20251218","56.12","0.81"
"48","名古屋","0920","一般戦","1831","20220408","20251223","57.73","0.99"
"48","名古屋","1400","上位クラス","5","20251205","20251205","87.94","0.59"
"48","名古屋","1400","E級","260","20240625","20251223","90.12","1.11"
